study,topic,outcome,party,N,actual,actual_se,guess,guess_se,difference,difference_se,p
1,Blocked whistleblower,Y0,Democrat,103,5.36,0.20,4.98,0.23,-0.38,0.31,0.218
1,Blocked whistleblower,Y0,Republican,73,3.32,0.31,2.83,0.22,-0.49,0.38,0.205
1,Blocked whistleblower,Y1,Democrat,103,4.41,0.25,4.24,0.23,0.17,0.34,0.618
1,Blocked whistleblower,Y1,Republican,73,2.95,0.26,2.45,0.24,0.50,0.36,0.165
1,Death penalty,Y0,Democrat,102,3.54,0.26,4.42,0.28,0.88,0.38,0.024
1,Death penalty,Y0,Republican,72,5.19,0.28,5.15,0.27,-0.05,0.39,0.904
1,Death penalty,Y1,Democrat,102,4.40,0.29,3.66,0.27,0.73,0.39,0.064
1,Death penalty,Y1,Republican,72,4.88,0.28,5.03,0.31,-0.15,0.41,0.709
1,Disputed accusation,Y0,Democrat,103,2.66,0.21,3.11,0.26,0.45,0.33,0.174
1,Disputed accusation,Y0,Republican,73,5.32,0.19,4.48,0.25,-0.85,0.31,0.009
1,Disputed accusation,Y1,Democrat,103,2.68,0.24,2.14,0.20,0.55,0.31,0.082
1,Disputed accusation,Y1,Republican,73,3.31,0.26,4.39,0.30,-1.08,0.40,0.008
1,Endorsed Trump,Y0,Democrat,103,3.80,0.24,3.77,0.28,-0.02,0.37,0.948
1,Endorsed Trump,Y0,Republican,73,5.87,0.12,5.02,0.24,-0.85,0.27,0.003
1,Endorsed Trump,Y1,Democrat,103,3.39,0.31,2.54,0.23,0.84,0.38,0.029
1,Endorsed Trump,Y1,Republican,73,4.90,0.23,5.84,0.19,-0.93,0.30,0.002
1,Immigration,Y0,Democrat,102,4.90,0.19,4.33,0.27,-0.57,0.33,0.087
1,Immigration,Y0,Republican,72,2.68,0.33,3.12,0.23,0.44,0.40,0.272
1,Immigration,Y1,Democrat,102,4.40,0.27,4.80,0.19,-0.40,0.33,0.230
1,Immigration,Y1,Republican,72,3.05,0.25,2.81,0.29,0.24,0.38,0.531
1,Supports charters,Y0,Democrat,103,2.63,0.22,2.75,0.30,0.12,0.37,0.740
1,Supports charters,Y0,Republican,73,5.58,0.23,4.62,0.25,-0.96,0.34,0.006
1,Supports charters,Y1,Democrat,103,2.64,0.29,2.61,0.23,0.03,0.37,0.944
1,Supports charters,Y1,Republican,73,4.57,0.30,5.35,0.27,-0.78,0.40,0.055
1,Tax cuts,Y0,Democrat,102,2.81,0.24,2.93,0.29,0.12,0.38,0.758
1,Tax cuts,Y0,Republican,72,5.32,0.26,4.93,0.22,-0.40,0.34,0.249
1,Tax cuts,Y1,Democrat,102,3.16,0.30,2.83,0.23,0.33,0.38,0.381
1,Tax cuts,Y1,Republican,72,4.90,0.25,5.35,0.28,-0.45,0.38,0.232
1,Undisputed accusation,Y0,Democrat,102,4.46,0.23,3.86,0.28,-0.60,0.36,0.099
1,Undisputed accusation,Y0,Republican,72,3.29,0.25,2.90,0.24,-0.39,0.34,0.262
1,Undisputed accusation,Y1,Democrat,102,3.09,0.32,2.68,0.26,0.42,0.41,0.314
1,Undisputed accusation,Y1,Republican,72,2.10,0.25,1.74,0.24,0.36,0.34,0.306
2a,Biden / Hill,Y0,Democrat,697,4.43,0.08,4.27,0.08,-0.16,0.11,0.163
2a,Biden / Hill,Y0,Republican,693,2.46,0.08,2.51,0.08,0.04,0.12,0.711
2a,Biden / Hill,Y1,Democrat,697,4.06,0.08,4.11,0.08,-0.05,0.12,0.673
2a,Biden / Hill,Y1,Republican,693,2.57,0.08,2.48,0.08,0.09,0.12,0.440
2a,DREAM Act,Y0,Democrat,697,5.03,0.08,4.89,0.07,-0.14,0.11,0.200
2a,DREAM Act,Y0,Republican,691,3.33,0.09,3.35,0.09,0.01,0.12,0.912
2a,DREAM Act,Y1,Democrat,697,4.95,0.07,5.06,0.07,-0.11,0.10,0.285
2a,DREAM Act,Y1,Republican,691,3.44,0.09,3.36,0.09,0.09,0.12,0.483
2a,Obama Torture,Y0,Democrat,699,3.87,0.11,4.65,0.09,0.77,0.14,0.000
2a,Obama Torture,Y0,Republican,693,3.43,0.08,3.41,0.09,-0.02,0.12,0.890
2a,Obama Torture,Y1,Democrat,699,4.69,0.09,4.26,0.10,0.43,0.13,0.002
2a,Obama Torture,Y1,Republican,693,3.45,0.09,3.47,0.09,-0.03,0.12,0.834
2a,Opposed Kav,Y0,Democrat,491,4.58,0.11,4.91,0.09,0.33,0.14,0.021
2a,Opposed Kav,Y0,Republican,436,2.18,0.10,2.27,0.11,0.10,0.15,0.518
2a,Opposed Kav,Y1,Democrat,491,5.00,0.09,4.76,0.10,0.24,0.14,0.084
2a,Opposed Kav,Y1,Republican,436,2.29,0.11,2.11,0.10,0.19,0.15,0.219
2a,Supported Kav,Y0,Democrat,210,1.76,0.12,1.91,0.13,0.16,0.18,0.392
2a,Supported Kav,Y0,Republican,256,4.67,0.13,4.71,0.14,0.04,0.19,0.821
2a,Supported Kav,Y1,Democrat,210,1.88,0.14,1.47,0.09,0.42,0.17,0.016
2a,Supported Kav,Y1,Republican,256,4.67,0.15,4.73,0.14,-0.05,0.20,0.798
2a,Trump Coal,Y0,Democrat,701,4.77,0.08,4.09,0.10,-0.67,0.13,0.000
2a,Trump Coal,Y0,Republican,693,4.15,0.07,3.94,0.07,-0.21,0.10,0.048
2a,Trump Coal,Y1,Democrat,701,3.89,0.11,4.52,0.09,-0.63,0.14,0.000
2a,Trump Coal,Y1,Republican,693,3.98,0.07,4.11,0.07,-0.13,0.10,0.204
2b,Biden / Hill,Y0,Democrat,196,0.88,0.03,0.84,0.04,-0.04,0.05,0.419
2b,Biden / Hill,Y0,Republican,209,0.32,0.04,0.39,0.05,0.08,0.07,0.256
2b,Biden / Hill,Y1,Democrat,196,0.82,0.04,0.76,0.04,0.07,0.06,0.245
2b,Biden / Hill,Y1,Republican,209,0.42,0.05,0.37,0.05,0.05,0.07,0.450
2b,DREAM Act,Y0,Democrat,194,0.89,0.03,0.84,0.04,-0.05,0.05,0.273
2b,DREAM Act,Y0,Republican,209,0.48,0.05,0.51,0.05,0.03,0.07,0.636
2b,DREAM Act,Y1,Democrat,194,0.82,0.04,0.90,0.03,-0.08,0.05,0.088
2b,DREAM Act,Y1,Republican,209,0.51,0.05,0.50,0.05,0.01,0.07,0.834
2b,Obama Torture,Y0,Democrat,195,0.61,0.05,0.82,0.04,0.22,0.06,0.001
2b,Obama Torture,Y0,Republican,209,0.45,0.05,0.48,0.05,0.03,0.07,0.661
2b,Obama Torture,Y1,Democrat,195,0.86,0.03,0.79,0.04,0.07,0.05,0.177
2b,Obama Torture,Y1,Republican,209,0.48,0.05,0.50,0.05,-0.02,0.07,0.825
2b,Trump Coal,Y0,Democrat,196,0.87,0.03,0.65,0.05,-0.22,0.06,0.000
2b,Trump Coal,Y0,Republican,210,0.62,0.05,0.73,0.04,0.11,0.06,0.084
2b,Trump Coal,Y1,Democrat,196,0.58,0.05,0.78,0.04,-0.20,0.07,0.003
2b,Trump Coal,Y1,Republican,210,0.68,0.05,0.66,0.05,0.02,0.07,0.802
