study,topic,Topic,pid_3,format,term,estimate,std.error,statistic,p.value,conf.low,conf.high,df,outcome,category,Estimator,value,Party,Format,lab_outside
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change,(Intercept),NA,0.06902828418342011,6.56006728308641,2.4877912924742458e-8,NA,NA,52.00000000000322,(YC == -1),Less,More-less,0.4528301886792454,Democrat,Change,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change,(Intercept),NA,0.06472889149775837,4.95535624910617,8.049944472011569e-6,NA,NA,52.00000000000322,(YC == 0), Same,More-less,0.32075471698113217,Democrat,Change,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change,(Intercept),NA,0.05803700732404124,3.9012193215867725,2.7632250859476213e-4,NA,NA,52.00000000000322,(YC == 1), More,More-less,0.2264150943396227,Democrat,Change,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change,(Intercept),-0.22641509433962276,0.10989343510122465,-2.0603150145508518,0.04438816149918724,-0.44693240478274887,-0.0058977838964966445,52.00000000000322,YC,  Diff,More-less,-0.22641509433962276,Democrat,Change,-0.23 (0.11)
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change + level,(Intercept),NA,0.07453559924999298,6.708203932499369,2.763432245063795e-8,NA,NA,44.999999999999766,(YC == -1),Less,More-less,0.49999999999999994,Democrat,Change + level,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change + level,(Intercept),NA,0.07195473383945743,5.136079277506102,5.839749856070059e-6,NA,NA,44.999999999999766,(YC == 0), Same,More-less,0.3695652173913044,Democrat,Change + level,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change + level,(Intercept),NA,0.050204371233880496,2.598076211353316,0.01262714332842346,NA,NA,44.999999999999766,(YC == 1), More,More-less,0.13043478260869565,Democrat,Change + level,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Change + level,(Intercept),-0.3695652173913044,0.10475965431015188,-3.527743765716981,9.781306696941647e-4,-0.5805619921553672,-0.15856844262724154,44.999999999999766,YC,  Diff,More-less,-0.3695652173913044,Democrat,Change + level,-0.37 (0.10)
1,Blocked whistleblower,Blocked whistleblower,Democrat,Counterfactual,(Intercept),NA,0.07425392901036848,5.203275321763597,5.188704319254503e-6,NA,NA,43.00000000000049,(YC == -1),Less,More-less,0.38636363636363635,Democrat,Counterfactual,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Counterfactual,(Intercept),NA,0.07617047451458,6.265849468764582,1.5003611102224942e-7,NA,NA,43.00000000000049,(YC == 0), Same,More-less,0.4772727272727273,Democrat,Counterfactual,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Counterfactual,(Intercept),NA,0.05233358898302987,2.6056618514708556,0.012546382109556836,NA,NA,43.00000000000049,(YC == 1), More,More-less,0.13636363636363638,Democrat,Counterfactual,NA
1,Blocked whistleblower,Blocked whistleblower,Democrat,Counterfactual,(Intercept),-0.25,0.10345511022113317,-2.416507018992393,0.01998762279550369,-0.4586371137532139,-0.04136288624678605,43.00000000000049,YC,  Diff,More-less,-0.25,Democrat,Counterfactual,-0.25 (0.10)
1,Blocked whistleblower,Blocked whistleblower,Republican,Change,(Intercept),NA,0.08182838794858087,7.266360849833979,1.4729469700102871e-8,NA,NA,35.99999999999888,(YC == -1),Less,More-less,0.5945945945945946,Republican,Change,NA
