topic,Topic,Party,estimate,std.error,conf.low,conf.high,p.value,df
"Blocked
whistleblower","Blocked
whistleblow",All,-0.10082150858849885,0.068897222426961,-0.236659589450189,0.035016572273191285,0.14490034424844,204.9806772347793
"Blocked
whistleblower","Blocked
whistleblow",Democrat,-0.048810500410172326,0.0967848806190086,-0.24095148724974302,0.14333048642939838,0.6152039839260022,95.0496502105413
"Blocked
whistleblower","Blocked
whistleblow",Independent,-0.05714285714285718,0.2024703530183782,-0.48011945919586646,0.36583374491015214,0.780735373380714,19.545243619489536
"Blocked
whistleblower","Blocked
whistleblow",Republican,-0.17481311098332353,0.10911844905280854,-0.3920762395893401,0.0424500176226931,0.1132165815884153,77.43466447533807
Death penalty,"Death
penalty",All,-0.02319937876140552,0.067475666662385,-0.15625044060991133,0.1098516830871003,0.7313422562973686,200.98029652758458
Death penalty,"Death
penalty",Democrat,-0.15341880341880346,0.09749671444917818,-0.34702766293119747,0.040190056093590554,0.11898036405746897,93.01067822593109
Death penalty,"Death
penalty",Independent,0.3333333333333334,0.20100756305184245,-0.08695286506760591,0.7536195317342728,0.11342743387380322,19.289855072463844
Death penalty,"Death
penalty",Republican,0.03737780333525024,0.10538577558245439,-0.1724532885870215,0.24720889525752196,0.7237964729615709,77.43466447533807
"Disputed
accusation","Disputed
accusation",All,-0.11650485436893208,0.0674287704998079,-0.24945152399005427,0.016441815252190087,0.08553363489123723,203.99999999991803
"Disputed
accusation","Disputed
accusation",Democrat,-0.23461853978671046,0.08349590076263215,-0.4003777437758525,-0.06885933579756842,0.00601638421964025,95.0496502105413
"Disputed
accusation","Disputed
accusation",Independent,0.06153846153846149,0.21766195312517142,-0.39322503673375514,0.5163019598106782,0.7803651430261795,19.51229508196718
"Disputed
accusation","Disputed
accusation",Republican,0.03565267395054631,0.11059054403430034,-0.18454150769059308,0.2558468555916857,0.7480302502275227,77.43466447533807
Endorsed Trump,"Endorsed
Trump",All,-0.04172890216579545,0.06504399465831294,-0.16996994142292735,0.08651213709133646,0.5218828533863287,204.9806772347793
Endorsed Trump,"Endorsed
Trump",Democrat,-0.06644790812141098,0.07902736148118074,-0.22333599978620894,0.09044018354338697,0.4025581840140151,95.0496502105413
Endorsed Trump,"Endorsed
Trump",Independent,0.3142857142857141,0.20582821428031972,-0.11570572586861727,0.7442771544400455,0.14279893691987655,19.545243619489536
Endorsed Trump,"Endorsed
Trump",Republican,-0.09545715928694631,0.10818470462768459,-0.3108611317476746,0.119946813173782,0.38031656546207104,77.43466447533807
Immigration,"Immigrant
population",All,-0.0729955348476025,0.06917199099018201,-0.20939147291914922,0.0634004032239442,0.2925660577781268,200.98029652758458
