study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
1,Blocked whistleblower,Democrat,More-less,Counterfactual,  Diff,-0.3398058252427184,-0.3398058252427184,0.06836787822464391,-0.47541318753930367,-0.20419846294613314,-0.34 (0.07)
1,Blocked whistleblower,Democrat,More-less,Counterfactual, More,0.12621359223300974,NA,0.03288180278808632,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Counterfactual, Same,0.40776699029126207,NA,0.048657775704107724,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Counterfactual,Less,0.4660194174757281,NA,0.04939291447273478,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change + level,  Diff,-0.3695652173913044,-0.3695652173913044,0.10475965431015188,-0.5805619921553672,-0.15856844262724154,-0.37 (0.10)
1,Blocked whistleblower,Democrat,More-less,Change + level, More,0.13043478260869565,NA,0.050204371233880496,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change + level, Same,0.3695652173913044,NA,0.07195473383945743,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change + level,Less,0.49999999999999994,NA,0.07453559924999298,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change,  Diff,-0.22641509433962276,-0.22641509433962276,0.10989343510122465,-0.44693240478274887,-0.0058977838964966445,-0.23 (0.11)
1,Blocked whistleblower,Democrat,More-less,Change, More,0.2264150943396227,NA,0.05803700732404124,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change, Same,0.32075471698113217,NA,0.06472889149775837,NA,NA,NA
1,Blocked whistleblower,Democrat,More-less,Change,Less,0.4528301886792454,NA,0.06902828418342011,NA,NA,NA
1,Blocked whistleblower,Democrat,CATE,Diff. in means,NA,NA,-0.9468412942989205,0.3267420155307037,-1.5950095604753796,-0.29867302812246155,-0.95 (0.33)
1,Blocked whistleblower,Democrat,CATE,Counterfactual,NA,NA,-0.883495145631068,0.18163385372689037,-1.2437650332928585,-0.5232252579692774,-0.88 (0.18)
1,Blocked whistleblower,Republican,More-less,Counterfactual,  Diff,-0.15068493150684933,-0.15068493150684933,0.07471720626462817,-0.29963095999814554,-0.0017389030155531282,-0.15 (0.07)
