study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
2a,Biden skeptical of Anita Hill,Democrat,More-less,Counterfactual,  Diff,-0.1408450704225352,-0.1408450704225352,0.02506579969413113,-0.19014167529619347,-0.09154846554887693,-0.14 (0.03)
2a,Biden skeptical of Anita Hill,Democrat,More-less,Counterfactual, More,0.05070422535211267,NA,0.011660608622896562,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,More-less,Counterfactual, Same,0.7577464788732388,NA,0.022771696218506186,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,More-less,Counterfactual,Less,0.19154929577464794,NA,0.020915363683922536,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,More-less,Change,  Diff,-0.11746987951807229,-0.11746987951807229,0.03282668739283431,-0.18204512083158686,-0.05289463820455774,-0.12 (0.03)
2a,Biden skeptical of Anita Hill,Democrat,More-less,Change, More,0.12650602409638553,NA,0.018271388986048305,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,More-less,Change, Same,0.6295180722891566,NA,0.02654444309200997,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,More-less,Change,Less,0.24397590361445784,NA,0.023606265622635552,NA,NA,NA
2a,Biden skeptical of Anita Hill,Democrat,CATE,Counterfactual,NA,NA,-0.2112676056338028,0.04232772455770226,-0.29451302920633005,-0.12802218206127558,-0.21 (0.04)
2a,Biden skeptical of Anita Hill,Republican,More-less,Counterfactual,  Diff,0.03801169590643275,0.03801169590643275,0.0212184470735215,-0.0037238252167176855,0.07974721702958319,0.04 (0.02)
2a,Biden skeptical of Anita Hill,Republican,More-less,Counterfactual, More,0.09649122807017546,NA,0.01598942749811733,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,More-less,Counterfactual, Same,0.8450292397660808,NA,0.019596727815495176,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,More-less,Counterfactual,Less,0.05847953216374269,NA,0.012706900760046377,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,More-less,Change,  Diff,-0.14366197183098592,-0.14366197183098592,0.028443793886397516,-0.1996020369969028,-0.08772190666506904,-0.14 (0.03)
2a,Biden skeptical of Anita Hill,Republican,More-less,Change, More,0.08169014084507041,NA,0.01455719886502885,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,More-less,Change, Same,0.6929577464788728,NA,0.024516068066245848,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,More-less,Change,Less,0.22535211267605643,NA,0.02220656351722017,NA,NA,NA
2a,Biden skeptical of Anita Hill,Republican,CATE,Counterfactual,NA,NA,0.0672514619883041,0.035072352908750305,-0.0017339317396075499,0.13623685571621574,0.07 (0.04)
2a,DREAM Act helps economy,Democrat,More-less,Counterfactual,  Diff,0.048022598870056506,0.048022598870056506,0.019636347540764144,0.009403656536602426,0.08664154120351059,0.05 (0.02)
2a,DREAM Act helps economy,Democrat,More-less,Counterfactual, More,0.09322033898305088,NA,0.015474580031365226,NA,NA,NA
2a,DREAM Act helps economy,Democrat,More-less,Counterfactual, Same,0.861581920903955,NA,0.01838050100543459,NA,NA,NA
2a,DREAM Act helps economy,Democrat,More-less,Counterfactual,Less,0.04519774011299436,NA,0.011056756026479953,NA,NA,NA
2a,DREAM Act helps economy,Democrat,More-less,Change,  Diff,0.4216867469879518,0.4216867469879518,0.03478433948190839,0.3532604970561427,0.49011299691976085,0.42 (0.03)
2a,DREAM Act helps economy,Democrat,More-less,Change, More,0.5,NA,0.027482485496465637,NA,NA,NA
2a,DREAM Act helps economy,Democrat,More-less,Change, Same,0.4216867469879518,NA,0.02714329405382961,NA,NA,NA
2a,DREAM Act helps economy,Democrat,More-less,Change,Less,0.0783132530120482,NA,0.014767103086902718,NA,NA,NA
2a,DREAM Act helps economy,Democrat,CATE,Counterfactual,NA,NA,0.0536723163841808,0.02683394690246554,8.978049403401966e-4,0.10644682782802141,0.05 (0.03)
2a,DREAM Act helps economy,Republican,More-less,Counterfactual,  Diff,0.055882352941176466,0.055882352941176466,0.022030029214184864,0.012549583744955205,0.09921512213739772,0.06 (0.02)
2a,DREAM Act helps economy,Republican,More-less,Counterfactual, More,0.11176470588235295,NA,0.01711261988405394,NA,NA,NA
2a,DREAM Act helps economy,Republican,More-less,Counterfactual, Same,0.8323529411764694,NA,0.02028859063621673,NA,NA,NA
