panel,study,Topic,Party,Estimator,Format,category,share,estimate,std.error,conf.low,conf.high,label
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Counterfactual,  Diff,0.10769230769230771,0.10769230769230771,0.028505121270262005,0.0514725824986536,0.16391203288596182,0.11 (0.03)
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Counterfactual, More,0.13846153846153847,NA,0.02479710874695394,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Counterfactual, Same,0.8307692307692316,NA,0.026920244554764113,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Counterfactual,Less,0.030769230769230774,NA,0.012398554373476972,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Simultaneous,  Diff,0.03225806451612904,0.03225806451612904,0.025439962571557423,-0.018098781545336964,0.08261491057759504,0.03 (0.03)
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Simultaneous, More,0.05645161290322581,NA,0.020809790594432893,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Simultaneous, Same,0.9193548387096777,NA,0.02455150869650657,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Simultaneous,Less,0.02419354838709678,NA,0.013854124038505378,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Change,  Diff,0.4580152671755724,0.4580152671755724,0.057608986283517793,0.34404277753459545,0.5719877568165493,0.46 (0.06)
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Change, More,0.5496183206106868,NA,0.04363643698524778,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Change, Same,0.35877862595419846,NA,0.04206739313864908,NA,NA,NA
(a) No pretreatment,2b,Obama torture exec. order,Democrat,More-less,Change,Less,0.09160305343511449,NA,0.02530003557864298,NA,NA,NA
