Study,Topic,Party,Y1?,N,More,Less,Same,Diff
1,"Blocked
whistleblower",Democrat,No,53,22.6 (5.8),45.3 (6.9),32.1 (6.5),-22.6 (11.0)
1,"Blocked
whistleblower",Democrat,Yes,46,13.0 (5.0),50.0 (7.5),37.0 (7.2),-37.0 (10.5)
1,"Blocked
whistleblower",Independent,No,14,14.3 (9.7),21.4 (11.4),64.3 (13.3),-7.1 (16.5)
1,"Blocked
whistleblower",Independent,Yes,10,-0.0 (0.0),30.0 (15.3),70.0 (15.3),-30.0 (15.3)
1,"Blocked
whistleblower",Republican,No,37,2.7 (2.7),59.5 (8.2),37.8 (8.1),-56.8 (9.1)
1,"Blocked
whistleblower",Republican,Yes,47,6.4 (3.6),38.3 (7.2),55.3 (7.3),-31.9 (8.7)
1,Death penalty,Democrat,No,52,9.6 (4.1),34.6 (6.7),55.8 (7.0),-25.0 (8.6)
1,Death penalty,Democrat,Yes,45,8.9 (4.3),20.0 (6.0),71.1 (6.8),-11.1 (7.9)
1,Death penalty,Independent,No,12,16.7 (11.2),-0.0 (0.0),83.3 (11.2),16.7 (11.2)
1,Death penalty,Independent,Yes,10,40.0 (16.3),10.0 (10.0),50.0 (16.7),30.0 (21.3)
1,Death penalty,Republican,No,37,24.3 (7.2),8.1 (4.5),67.6 (7.8),16.2 (9.1)
1,Death penalty,Republican,Yes,47,27.7 (6.6),8.5 (4.1),63.8 (7.1),19.1 (8.4)
1,"Disputed
accusation",Democrat,No,53,1.9 (1.9),86.8 (4.7),11.3 (4.4),-84.9 (5.6)
1,"Disputed
accusation",Democrat,Yes,46,2.2 (2.2),63.0 (7.2),34.8 (7.1),-60.9 (7.9)
1,"Disputed
accusation",Independent,No,13,7.7 (7.7),46.2 (14.4),46.2 (14.4),-38.5 (18.0)
1,"Disputed
accusation",Independent,Yes,10,10.0 (10.0),50.0 (16.7),40.0 (16.3),-40.0 (22.1)
1,"Disputed
accusation",Republican,No,37,18.9 (6.5),24.3 (7.2),56.8 (8.3),-5.4 (10.9)
1,"Disputed
accusation",Republican,Yes,47,8.5 (4.1),38.3 (7.2),53.2 (7.4),-29.8 (9.1)
1,Endorsed Trump,Democrat,No,53,5.7 (3.2),79.2 (5.6),15.1 (5.0),-73.6 (7.7)
1,Endorsed Trump,Democrat,Yes,46,2.2 (2.2),76.1 (6.4),21.7 (6.1),-73.9 (7.2)
1,Endorsed Trump,Independent,No,14,-0.0 (0.0),28.6 (12.5),71.4 (12.5),-28.6 (12.5)
