Study,Topic,Party,Format,Y1?,N,category,estimate_pct,se_pct
1,"Blocked
whistleblower",Democrat,Change,No,53,Diff,-22.641509433962277,10.989343510122465
1,"Blocked
whistleblower",Democrat,Change,No,53,Less,45.28301886792454,6.902828418342011
1,"Blocked
whistleblower",Democrat,Change,No,53,More,22.64150943396227,5.803700732404124
1,"Blocked
whistleblower",Democrat,Change,No,53,Same,32.07547169811322,6.472889149775837
1,"Blocked
whistleblower",Democrat,Change + level,Yes,46,Diff,-36.95652173913044,10.475965431015188
1,"Blocked
whistleblower",Democrat,Change + level,Yes,46,Less,49.99999999999999,7.453559924999298
1,"Blocked
whistleblower",Democrat,Change + level,Yes,46,More,13.043478260869565,5.020437123388049
1,"Blocked
whistleblower",Democrat,Change + level,Yes,46,Same,36.95652173913044,7.1954733839457425
1,"Blocked
whistleblower",Independent,Change,No,14,Diff,-7.142857142857144,16.4560210240351
1,"Blocked
whistleblower",Independent,Change,No,14,Less,21.42857142857143,11.38039295450988
1,"Blocked
whistleblower",Independent,Change,No,14,More,14.285714285714288,9.705231721239393
1,"Blocked
whistleblower",Independent,Change,No,14,Same,64.28571428571429,13.289435848843764
1,"Blocked
whistleblower",Independent,Change + level,Yes,10,Diff,-30,15.275252316519467
1,"Blocked
whistleblower",Independent,Change + level,Yes,10,Less,30,15.275252316519467
1,"Blocked
whistleblower",Independent,Change + level,Yes,10,More,-0,0
1,"Blocked
whistleblower",Independent,Change + level,Yes,10,Same,70,15.275252316519468
1,"Blocked
whistleblower",Republican,Change,No,37,Diff,-56.756756756756765,9.120926455548013
1,"Blocked
whistleblower",Republican,Change,No,37,Less,59.45945945945946,8.182838794858087
1,"Blocked
whistleblower",Republican,Change,No,37,More,2.7027027027027026,2.7027027027027026
1,"Blocked
whistleblower",Republican,Change,No,37,Same,37.83783783783784,8.083044344561426
1,"Blocked
whistleblower",Republican,Change + level,Yes,47,Diff,-31.914893617021278,8.659657428455231
1,"Blocked
whistleblower",Republican,Change + level,Yes,47,Less,38.297872340425535,7.16734777251339
1,"Blocked
whistleblower",Republican,Change + level,Yes,47,More,6.382978723404256,3.6042108674890208
1,"Blocked
whistleblower",Republican,Change + level,Yes,47,Same,55.319148936170215,7.33026284390658
1,Death penalty,Democrat,Change,No,52,Diff,-25,8.629721694870586
1,Death penalty,Democrat,Change,No,52,Less,34.61538461538462,6.661733875264912
1,Death penalty,Democrat,Change,No,52,More,9.615384615384617,4.128055232750757
1,Death penalty,Democrat,Change,No,52,Same,55.769230769230774,6.954637296657958
1,Death penalty,Democrat,Change + level,Yes,45,Diff,-11.111111111111112,7.927845200140841
1,Death penalty,Democrat,Change + level,Yes,45,Less,20.000000000000004,6.030226891555272
1,Death penalty,Democrat,Change + level,Yes,45,More,8.888888888888888,4.290254662948546
1,Death penalty,Democrat,Change + level,Yes,45,Same,71.1111111111111,6.8329432425405106
1,Death penalty,Independent,Change,No,12,Diff,16.66666666666667,11.236664374387372
1,Death penalty,Independent,Change,No,12,Less,-0,0
1,Death penalty,Independent,Change,No,12,More,16.66666666666667,11.236664374387372
1,Death penalty,Independent,Change,No,12,Same,83.33333333333334,11.236664374387372
1,Death penalty,Independent,Change + level,Yes,10,Diff,29.999999999999993,21.343747458109497
1,Death penalty,Independent,Change + level,Yes,10,Less,10,10
1,Death penalty,Independent,Change + level,Yes,10,More,40,16.329931618554525
1,Death penalty,Independent,Change + level,Yes,10,Same,49.999999999999986,16.666666666666668
1,Death penalty,Republican,Change,No,37,Diff,16.21621621621622,9.098653097623496
1,Death penalty,Republican,Change,No,37,Less,8.108108108108109,4.549326548811747
1,Death penalty,Republican,Change,No,37,More,24.324324324324326,7.150679219093489
1,Death penalty,Republican,Change,No,37,Same,67.56756756756758,7.802030664724674
1,Death penalty,Republican,Change + level,Yes,47,Diff,19.148936170212767,8.405923791336553
1,Death penalty,Republican,Change + level,Yes,47,Less,8.510638297872344,4.114219418674762
1,Death penalty,Republican,Change + level,Yes,47,More,27.659574468085108,6.59529705144534
1,Death penalty,Republican,Change + level,Yes,47,Same,63.829787234042556,7.0844854758726346
1,"Disputed
accusation",Democrat,Change,No,53,Diff,-84.90566037735852,5.6482695855704055
1,"Disputed
accusation",Democrat,Change,No,53,Less,86.79245283018872,4.69515997666816
