Study,Topic,Outcome,Party,N,Actual,Guess,Difference,p
1,Blocked whistleblower,Y0,Democrat,103,5.356 (0.205),4.977 (0.226),-0.379 (0.305),0.218
1,Blocked whistleblower,Y0,Republican,73,3.323 (0.312),2.833 (0.221),-0.489 (0.382),0.205
1,Blocked whistleblower,Y1,Democrat,103,4.409 (0.255),4.237 (0.231),0.172 (0.344),0.618
1,Blocked whistleblower,Y1,Republican,73,2.952 (0.264),2.452 (0.240),0.501 (0.357),0.165
1,Death penalty,Y0,Democrat,102,3.542 (0.257),4.419 (0.281),0.876 (0.381),0.024
1,Death penalty,Y0,Republican,72,5.194 (0.284),5.146 (0.270),-0.047 (0.391),0.904
1,Death penalty,Y1,Democrat,102,4.395 (0.287),3.661 (0.268),0.734 (0.392),0.064
1,Death penalty,Y1,Republican,72,4.878 (0.275),5.032 (0.306),-0.154 (0.412),0.709
1,Disputed accusation,Y0,Democrat,103,2.661 (0.209),3.114 (0.256),0.453 (0.331),0.174
1,Disputed accusation,Y0,Republican,73,5.323 (0.193),4.476 (0.249),-0.846 (0.315),0.009
1,Disputed accusation,Y1,Democrat,103,2.682 (0.241),2.136 (0.197),0.546 (0.311),0.082
1,Disputed accusation,Y1,Republican,73,3.310 (0.263),4.387 (0.296),-1.078 (0.396),0.008
1,Endorsed Trump,Y0,Democrat,103,3.797 (0.235),3.773 (0.281),-0.024 (0.367),0.948
1,Endorsed Trump,Y0,Republican,73,5.871 (0.120),5.024 (0.242),-0.847 (0.270),0.003
1,Endorsed Trump,Y1,Democrat,103,3.386 (0.307),2.542 (0.226),0.844 (0.381),0.029
1,Endorsed Trump,Y1,Republican,73,4.905 (0.226),5.839 (0.192),-0.934 (0.296),0.002
1,Immigration,Y0,Democrat,102,4.898 (0.194),4.326 (0.268),-0.573 (0.331),0.087
1,Immigration,Y0,Republican,72,2.677 (0.326),3.122 (0.235),0.445 (0.402),0.272
1,Immigration,Y1,Democrat,102,4.395 (0.271),4.797 (0.193),-0.401 (0.332),0.230
1,Immigration,Y1,Republican,72,3.049 (0.247),2.806 (0.295),0.242 (0.384),0.531
1,Supports charters,Y0,Democrat,103,2.627 (0.217),2.750 (0.298),0.123 (0.369),0.740
1,Supports charters,Y0,Republican,73,5.581 (0.231),4.619 (0.246),-0.962 (0.337),0.006
1,Supports charters,Y1,Democrat,103,2.636 (0.291),2.610 (0.227),0.026 (0.369),0.944
1,Supports charters,Y1,Republican,73,4.571 (0.299),5.355 (0.269),-0.783 (0.402),0.055
1,Tax cuts,Y0,Democrat,102,2.814 (0.242),2.930 (0.289),0.117 (0.377),0.758
1,Tax cuts,Y0,Republican,72,5.323 (0.256),4.927 (0.225),-0.396 (0.340),0.249
1,Tax cuts,Y1,Democrat,102,3.163 (0.303),2.831 (0.226),0.332 (0.378),0.381
1,Tax cuts,Y1,Republican,72,4.902 (0.254),5.355 (0.276),-0.452 (0.375),0.232
1,Undisputed accusation,Y0,Democrat,102,4.458 (0.230),3.860 (0.276),-0.597 (0.359),0.099
1,Undisputed accusation,Y0,Republican,72,3.290 (0.246),2.902 (0.239),-0.388 (0.343),0.262
1,Undisputed accusation,Y1,Democrat,102,3.093 (0.315),2.678 (0.262),0.415 (0.410),0.314
1,Undisputed accusation,Y1,Republican,72,2.098 (0.246),1.742 (0.241),0.356 (0.345),0.306
2a,Biden / Hill,Y0,Democrat,697,4.433 (0.081),4.273 (0.080),-0.160 (0.114),0.163
2a,Biden / Hill,Y0,Republican,693,2.462 (0.085),2.506 (0.084),0.044 (0.120),0.711
2a,Biden / Hill,Y1,Democrat,697,4.062 (0.081),4.111 (0.084),-0.049 (0.116),0.673
2a,Biden / Hill,Y1,Republican,693,2.573 (0.084),2.481 (0.084),0.092 (0.119),0.440
2a,DREAM Act,Y0,Democrat,697,5.029 (0.076),4.893 (0.074),-0.136 (0.106),0.200
2a,DREAM Act,Y0,Republican,691,3.333 (0.088),3.347 (0.087),0.014 (0.123),0.912
2a,DREAM Act,Y1,Democrat,697,4.946 (0.074),5.058 (0.074),-0.112 (0.105),0.285
2a,DREAM Act,Y1,Republican,691,3.444 (0.086),3.359 (0.085),0.085 (0.121),0.483
2a,Obama Torture,Y0,Democrat,699,3.872 (0.105),4.647 (0.088),0.775 (0.137),0.000
2a,Obama Torture,Y0,Republican,693,3.427 (0.083),3.411 (0.088),-0.017 (0.121),0.890
2a,Obama Torture,Y1,Democrat,699,4.690 (0.089),4.262 (0.101),0.428 (0.134),0.002
2a,Obama Torture,Y1,Republican,693,3.447 (0.087),3.473 (0.085),-0.026 (0.122),0.834
2a,Opposed Kav,Y0,Democrat,491,4.585 (0.105),4.910 (0.092),0.325 (0.140),0.021
2a,Opposed Kav,Y0,Republican,436,2.176 (0.103),2.273 (0.108),0.097 (0.149),0.518
2a,Opposed Kav,Y1,Democrat,491,5.004 (0.095),4.762 (0.103),0.242 (0.140),0.084
2a,Opposed Kav,Y1,Republican,436,2.292 (0.110),2.106 (0.104),0.186 (0.151),0.219
2a,Supported Kav,Y0,Democrat,210,1.757 (0.123),1.913 (0.133),0.156 (0.181),0.392
2a,Supported Kav,Y0,Republican,256,4.669 (0.130),4.712 (0.136),0.043 (0.188),0.821
2a,Supported Kav,Y1,Democrat,210,1.883 (0.144),1.467 (0.091),0.416 (0.171),0.016
2a,Supported Kav,Y1,Republican,256,4.674 (0.146),4.726 (0.139),-0.052 (0.202),0.798
2a,Trump Coal,Y0,Democrat,701,4.767 (0.083),4.093 (0.102),-0.674 (0.131),0.000
2a,Trump Coal,Y0,Republican,693,4.151 (0.074),3.944 (0.073),-0.207 (0.104),0.048
2a,Trump Coal,Y1,Democrat,701,3.888 (0.105),4.519 (0.095),-0.631 (0.141),0.000
2a,Trump Coal,Y1,Republican,693,3.982 (0.074),4.114 (0.072),-0.132 (0.103),0.204
2b,Biden / Hill,Y0,Democrat,196,0.883 (0.033),0.843 (0.036),-0.040 (0.049),0.419
