Study,Topic,Outcome,Party,N,quantity,estimate,std.error,p.value
1,Blocked whistleblower,Y0,Democrat,103,Actual,5.355932203389834,0.20479738938295886,NA
1,Blocked whistleblower,Y0,Democrat,103,Difference,-0.3786594761171025,0.3052842238642492,0.21771945985112165
1,Blocked whistleblower,Y0,Democrat,103,Guess,4.977272727272727,0.2263989545963535,NA
1,Blocked whistleblower,Y0,Republican,73,Actual,3.322580645161291,0.3124206454916969,NA
1,Blocked whistleblower,Y0,Republican,73,Difference,-0.4892473118279567,0.3824792293081731,0.2050099610194258
1,Blocked whistleblower,Y0,Republican,73,Guess,2.833333333333333,0.2206438331853522,NA
1,Blocked whistleblower,Y1,Democrat,103,Actual,4.409090909090908,0.2545945286430785,NA
1,Blocked whistleblower,Y1,Democrat,103,Difference,0.1718027734976892,0.3438048365404105,0.618366074730219
1,Blocked whistleblower,Y1,Democrat,103,Guess,4.2372881355932215,0.2310484616126822,NA
1,Blocked whistleblower,Y1,Republican,73,Actual,2.952380952380952,0.26387706318342646,NA
1,Blocked whistleblower,Y1,Republican,73,Difference,0.5007680491551463,0.35685957979934735,0.16489659548091154
1,Blocked whistleblower,Y1,Republican,73,Guess,2.451612903225807,0.24024499000032587,NA
1,Death penalty,Y0,Democrat,102,Actual,3.5423728813559325,0.2573547423542416,NA
1,Death penalty,Y0,Democrat,102,Difference,0.8762317698068586,0.3809406809953142,0.02351564797768577
1,Death penalty,Y0,Democrat,102,Guess,4.4186046511627906,0.28086355944649627,NA
1,Death penalty,Y0,Republican,72,Actual,5.193548387096774,0.28367539695210586,NA
1,Death penalty,Y0,Republican,72,Difference,-0.04720692368213998,0.39128898137488277,0.9043181253919562
1,Death penalty,Y0,Republican,72,Guess,5.146341463414634,0.26950943603046384,NA
1,Death penalty,Y1,Democrat,102,Actual,4.395348837209302,0.28653722685542765,NA
1,Death penalty,Y1,Democrat,102,Difference,0.73433188805676,0.39212693031211343,0.06403255382479889
1,Death penalty,Y1,Democrat,102,Guess,3.661016949152543,0.26769375618792834,NA
1,Death penalty,Y1,Republican,72,Actual,4.878048780487806,0.2754046290399077,NA
1,Death penalty,Y1,Republican,72,Difference,-0.15420928402832398,0.41153543067700216,0.7090038740839639
1,Death penalty,Y1,Republican,72,Guess,5.03225806451613,0.3058000997480162,NA
1,Disputed accusation,Y0,Democrat,103,Actual,2.6610169491525433,0.2088209217887307,NA
1,Disputed accusation,Y0,Democrat,103,Difference,0.4526194144838215,0.33071668107120844,0.17416030365277418
1,Disputed accusation,Y0,Democrat,103,Guess,3.1136363636363638,0.2564514491323072,NA
1,Disputed accusation,Y0,Republican,73,Actual,5.32258064516129,0.19336909258205573,NA
