file,dataverse_file_id,file_persistent_id,bytes,md5_served,md5_published,unf,served_as
analysis_impeach.R,4029077,doi:10.7910/DVN/GFF78K/RIQNHI,4022,2f3d60f0c121ec71ee524963ce9467fb,2f3d60f0c121ec71ee524963ce9467fb,,
analysis_main.R,4029069,doi:10.7910/DVN/GFF78K/MLLBNN,32478,0d0441c87cb7d2bc02706250a7051d47,0d0441c87cb7d2bc02706250a7051d47,,
codebook.pdf,4029071,doi:10.7910/DVN/GFF78K/D6LZOC,28210,a79effb17b5fe3b7f12cfdcbc6d591d3,a79effb17b5fe3b7f12cfdcbc6d591d3,,
data_impeach.csv,4029070,doi:10.7910/DVN/GFF78K/ADBYQ5,592035,51a4ff65a2955b567d043f8f643abedf,51a4ff65a2955b567d043f8f643abedf,UNF:6:iFpvgW8i3qtZ4vXzkVqqXQ==,data_impeach.tab
data_impeach.rds,4029075,doi:10.7910/DVN/GFF78K/TGHXBG,1069563,67454c76da28a9d53b4e337a8cd2a6a3,67454c76da28a9d53b4e337a8cd2a6a3,,
data_study1-3.rds,4029074,doi:10.7910/DVN/GFF78K/MUHKFN,12082544,7b80b3aa019117b7cdb67982c7985f41,7b80b3aa019117b7cdb67982c7985f41,,
data_study1.csv,4029067,doi:10.7910/DVN/GFF78K/SGHMWL,806548,fe1f88776233632edf9f120e2985ce54,fe1f88776233632edf9f120e2985ce54,UNF:6:ytQbx2Y0NX5wIoJ8d7U0UA==,data_study1.tab
data_study2a.csv,4029076,doi:10.7910/DVN/GFF78K/ESJVVR,3760532,fd673c206192cbaf8d77ef0467322752,fd673c206192cbaf8d77ef0467322752,UNF:6:I7yX6KP/PsutK+28UZ9cdw==,data_study2a.tab
data_study2b.csv,4029066,doi:10.7910/DVN/GFF78K/BOLEEH,1097466,6f70caa49a3653b18a044111a11dc419,6f70caa49a3653b18a044111a11dc419,UNF:6:vBI+oGyTg1A2mi+SJ+43nA==,data_study2b.tab
data_study3.csv,4029068,doi:10.7910/DVN/GFF78K/Y7LM2O,98183,2a370fdbf6209ca8d9c718da67889be0,2a370fdbf6209ca8d9c718da67889be0,UNF:6:Haat6qlHT+OVaRm+rJ2l9Q==,data_study3.tab
functions.R,4029073,doi:10.7910/DVN/GFF78K/KDOIQN,16683,be49aff810d15dc9fa0510f3b9af389a,be49aff810d15dc9fa0510f3b9af389a,,
readme.txt,4029072,doi:10.7910/DVN/GFF78K/3YTMCX,1546,0ccf4b28b2ac1260b8e434850d8b5991,0ccf4b28b2ac1260b8e434850d8b5991,,
